Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
luxemia-golden-handwork-palazzo-set-for-festive-events,Golden Handwork Palazzo Set for Festive Events,"<p>Golden Handwork Palazzo Set for Festive Events is selected for LuxeMia customers looking for polished Indian ethnic wear with a boutique feel. The golden palazzo set is suitable for festive occasions, parties, family functions and pairs detailed styling with an easy special-occasion silhouette.</p>  <ul>   <li><strong>Style:</strong> Palazzo Set</li>   <li><strong>Color:</strong> Golden</li>   <li><strong>Fabric:</strong> Tissue Silk</li>   <li><strong>Work:</strong> Embroidery, Handwork</li>   <li><strong>Includes:</strong> Three-Piece Set</li>   <li><strong>Occasion:</strong> festive occasions, parties, family functions</li>   <li><strong>Sizes:</strong> XS, S, M, L, XL, XXL, 3XL, 4XL, 5XL, Custom Measurements</li> </ul>  <p><strong>Custom Measurements:</strong> Select ""Custom Measurements"" as your size if you would like alteration support. After placing your order, share your bust, waist, hips, shoulder, sleeve length, top length, bottom length, and height measurements during the LuxeMia fit follow-up so our team can confirm the best fit before processing.</p>  <p><em>Please note:</em> Slight color variation may occur due to lighting, photography, and screen settings.</p>",LuxeMia,Apparel & Accessories > Clothing,Palazzo Set,"LuxeMia, Indian ethnic wear, Palazzo Set, Golden, Tissue Silk, Embroidery, Handwork, wedding guest outfit, festive wear, reception outfit, sangeet outfit, custom measurements",FALSE,Size,XS,,,,,,0,,0,deny,manual,104.99,,TRUE,TRUE,,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-golden-handwork-palazzo-set-for-festive-events-image-1.jpg,1,Golden Handwork Palazzo Set for Festive Events,FALSE,Golden Handwork Palazzo Set for Festive Events,"Golden Handwork Palazzo Set for Festive Events in Golden. LuxeMia palazzo set including three-piece set for weddings, receptions, festive events, and custom measurements.",,female,adult,,new,TRUE,,lb,,,draft
luxemia-golden-handwork-palazzo-set-for-festive-events,,,,,,,FALSE,Size,S,,,,,,0,,0,deny,manual,104.99,,TRUE,TRUE,,,,,FALSE,,,,female,adult,,new,TRUE,,lb,,,draft
luxemia-golden-handwork-palazzo-set-for-festive-events,,,,,,,FALSE,Size,M,,,,,,0,,0,deny,manual,104.99,,TRUE,TRUE,,,,,FALSE,,,,female,adult,,new,TRUE,,lb,,,draft
luxemia-golden-handwork-palazzo-set-for-festive-events,,,,,,,FALSE,Size,L,,,,,,0,,0,deny,manual,104.99,,TRUE,TRUE,,,,,FALSE,,,,female,adult,,new,TRUE,,lb,,,draft
luxemia-golden-handwork-palazzo-set-for-festive-events,,,,,,,FALSE,Size,XL,,,,,,0,,0,deny,manual,104.99,,TRUE,TRUE,,,,,FALSE,,,,female,adult,,new,TRUE,,lb,,,draft
luxemia-golden-handwork-palazzo-set-for-festive-events,,,,,,,FALSE,Size,XXL,,,,,,0,,0,deny,manual,104.99,,TRUE,TRUE,,,,,FALSE,,,,female,adult,,new,TRUE,,lb,,,draft
luxemia-golden-handwork-palazzo-set-for-festive-events,,,,,,,FALSE,Size,3XL,,,,,,0,,0,deny,manual,104.99,,TRUE,TRUE,,,,,FALSE,,,,female,adult,,new,TRUE,,lb,,,draft
luxemia-golden-handwork-palazzo-set-for-festive-events,,,,,,,FALSE,Size,4XL,,,,,,0,,0,deny,manual,104.99,,TRUE,TRUE,,,,,FALSE,,,,female,adult,,new,TRUE,,lb,,,draft
luxemia-golden-handwork-palazzo-set-for-festive-events,,,,,,,FALSE,Size,5XL,,,,,,0,,0,deny,manual,104.99,,TRUE,TRUE,,,,,FALSE,,,,female,adult,,new,TRUE,,lb,,,draft
luxemia-golden-handwork-palazzo-set-for-festive-events,,,,,,,FALSE,Size,Custom Measurements,,,,,,0,,0,deny,manual,104.99,,TRUE,TRUE,,,,,FALSE,,,,female,adult,,new,TRUE,,lb,,,draft
