Product Handle,Image Position,Source Local Path,Original Filename,Public Folder Path,Public Filename,Public URL,Copied Yes/No,Approved Source,Notes
luxemia-golden-handwork-palazzo-set-for-festive-events,1,luxemia_supplier_CLEANED_IMAGES/luxemia-golden-handwork-palazzo-set-for-festive-events-image-1.jpg,luxemia-golden-handwork-palazzo-set-for-festive-events-image-1.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-golden-handwork-palazzo-set-for-festive-events-image-1.jpg,luxemia-golden-handwork-palazzo-set-for-festive-events-image-1.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-golden-handwork-palazzo-set-for-festive-events-image-1.jpg,Yes,cleaned_image_audit approved,
luxemia-golden-handwork-palazzo-set-for-festive-events,2,luxemia_supplier_CLEANED_IMAGES/luxemia-golden-handwork-palazzo-set-for-festive-events-image-2.jpg,luxemia-golden-handwork-palazzo-set-for-festive-events-image-2.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-golden-handwork-palazzo-set-for-festive-events-image-2.jpg,luxemia-golden-handwork-palazzo-set-for-festive-events-image-2.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-golden-handwork-palazzo-set-for-festive-events-image-2.jpg,Yes,cleaned_image_audit approved,
luxemia-golden-handwork-palazzo-set-for-festive-events,3,luxemia_supplier_CLEANED_IMAGES/luxemia-golden-handwork-palazzo-set-for-festive-events-image-3.jpg,luxemia-golden-handwork-palazzo-set-for-festive-events-image-3.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-golden-handwork-palazzo-set-for-festive-events-image-3.jpg,luxemia-golden-handwork-palazzo-set-for-festive-events-image-3.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-golden-handwork-palazzo-set-for-festive-events-image-3.jpg,Yes,cleaned_image_audit approved,
luxemia-golden-handwork-palazzo-set-for-festive-events,4,luxemia_supplier_CLEANED_IMAGES/luxemia-golden-handwork-palazzo-set-for-festive-events-image-4.jpg,luxemia-golden-handwork-palazzo-set-for-festive-events-image-4.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-golden-handwork-palazzo-set-for-festive-events-image-4.jpg,luxemia-golden-handwork-palazzo-set-for-festive-events-image-4.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-golden-handwork-palazzo-set-for-festive-events-image-4.jpg,Yes,cleaned_image_audit approved,
luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings,1,luxemia_supplier_CLEANED_IMAGES/luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,Yes,cleaned_image_audit approved,
luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings,2,luxemia_supplier_CLEANED_IMAGES/luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,Yes,cleaned_image_audit approved,
luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings,3,luxemia_supplier_CLEANED_IMAGES/luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,Yes,cleaned_image_audit approved,
luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings,4,luxemia_supplier_CLEANED_IMAGES/luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-4.jpg,luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-4.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-4.jpg,luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-4.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-green-mirror-pre-draped-saree-with-blouse-for-weddings-image-4.jpg,Yes,cleaned_image_audit approved,
luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events,1,luxemia_supplier_CLEANED_IMAGES/luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-2.jpg,luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-2.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-2.jpg,luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-2.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-2.jpg,Yes,cleaned_image_audit approved,
luxemia-grey-moti-sharara-suit-for-festive-events,1,luxemia_supplier_CLEANED_IMAGES/luxemia-grey-moti-sharara-suit-for-festive-events-image-1.jpg,luxemia-grey-moti-sharara-suit-for-festive-events-image-1.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-grey-moti-sharara-suit-for-festive-events-image-1.jpg,luxemia-grey-moti-sharara-suit-for-festive-events-image-1.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-grey-moti-sharara-suit-for-festive-events-image-1.jpg,Yes,cleaned_image_audit approved,
