Image Filename,Original File,Cleaned File,Branding Removed Yes/No,Branding Still Visible Yes/No,Garment Altered Yes/No,Color Altered Yes/No,Embroidery/Fabric Altered Yes/No,Model/Product Shape Altered Yes/No,Quality Issue Yes/No,Approved For Shopify Yes/No,Reason
luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-1.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-1.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-2.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-2.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-3.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-3.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-4.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-pastel-pink-mirror-saree-gown-for-weddings-image-4.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (121627 after vs 94229 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-sky-blue-peach-beaded-palazzo-set-for-festive-events-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-sky-blue-peach-beaded-palazzo-set-for-festive-events-image-1.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-sky-blue-peach-beaded-palazzo-set-for-festive-events-image-1.jpg,No,Yes,No,No,No,No,Yes,No,Unmasked lower/central logo-like branding still appears likely (score 244). Warning: large mask area; inspect for garment/background distortion.
luxemia-sky-blue-peach-beaded-palazzo-set-for-festive-events-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-sky-blue-peach-beaded-palazzo-set-for-festive-events-image-2.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-sky-blue-peach-beaded-palazzo-set-for-festive-events-image-2.jpg,No,Yes,No,No,No,No,Yes,No,Unmasked lower/central logo-like branding still appears likely (score 213). Warning: large mask area; inspect for garment/background distortion.
luxemia-sky-blue-peach-beaded-palazzo-set-for-festive-events-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-sky-blue-peach-beaded-palazzo-set-for-festive-events-image-3.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-sky-blue-peach-beaded-palazzo-set-for-festive-events-image-3.jpg,No,Yes,No,No,No,No,Yes,No,Unmasked lower/central logo-like branding still appears likely (score 203).
luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-1.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-1.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-3.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-3.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-4.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-brown-pink-mint-green-beaded-skirt-set-for-festive-events-image-4.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (119050 after vs 63155 before). Warning: large mask area; inspect for garment/background distortion.
