Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Variant Image,Variant Weight Unit
silk-red-occasional-wear-embroidery-work-readymade-lehenga-choli-404608,Red Embroidered Lehenga Choli with Dupatta - Silk,"<p>Red embroidered lehenga choli with dupatta.</p>
<p>For occasional events — Navratri, Diwali, weddings, family functions.</p>
<p><strong>SET INCLUDES:</strong> Lehenga, choli, and dupatta.</p>
<p><strong>STITCHING:</strong> Pre-stitched readymade in standard sizes.</p>
<p><strong>ALTERATIONS:</strong> We offer alterations to your custom measurements for an additional fee. Email <a href=""mailto:hello@luxemia.shop"">hello@luxemia.shop</a> after ordering with your measurements.</p>

<p><strong>CARE:</strong> First Wash Dry Clean. Iron at moderate temperature.</p>
<p><strong>FABRIC:</strong> Silk. Approx weight: 2 kg (full set).</p>
<p><strong>SHIPPING:</strong> Ships within 2-3 days (processing). Standard delivery time varies by country. <strong>DHL Express delivers in 3-5 days</strong>. <strong>Free shipping is always Standard</strong> — DHL Express available at checkout for an additional fee.</p>
<p><strong>AVAILABILITY:</strong> <span style=""color:#1a7f37"">✓ In stock</span> — limited edition, available while supplier inventory lasts.</p>
<p><strong>QUESTIONS?</strong> Email <a href=""mailto:hello@luxemia.shop"">hello@luxemia.shop</a>, call <a href=""tel:+12153419990"">+1-215-341-9990</a>, or <a href=""https://wa.me/12153419990"" target=""_blank"">WhatsApp Mini</a> — I answer the phone myself in English, Hindi, or Gujarati.</p>
<p><strong>SEE ALSO:</strong> <a href=""https://luxemia.shop/returns"">Returns policy</a> | <a href=""https://luxemia.shop/size-guide"">Size guide</a> | <a href=""https://luxemia.shop/lehengas"">Browse all</a></p>
<p>— Mini, founder of LuxeMia</p>",LuxeMia,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas > Lehengas,Lehenga Choli,"red,silk,occasional,embroidery,indian ethnic wear,usa,ships from india,in stock,lehenga,lehenga choli",TRUE,Stitching,Readymade,Size,"Bust 40""",2000,shopify,10,deny,manual,356.06,456.48,TRUE,TRUE,silk-red-occasional--REA-BUST-40,https://kesimg.b-cdn.net/images/650/2026y/September/63937/Red-Silk-Occasional-Wear-Embroidery-Work-Readymade-Lehenga-Choli-3074-Red(1).jpg,1,Red Embroidered Lehenga Choli with Dupatta - Silk,FALSE,Red Embroidered Lehenga Choli with Dupatta - Silk | LuxeMia,Red embroidered lehenga choli for occasional — $356. Ships in 2-3 days. DHL Express 3-5 days. In stock.,active,https://kesimg.b-cdn.net/images/650/2026y/September/63937/Red-Silk-Occasional-Wear-Embroidery-Work-Readymade-Lehenga-Choli-3074-Red(1).jpg,kg
silk-red-festival-wear-beads-work-lehenga-choli-403872,Red Lehenga Choli with Dupatta - Silk,"<p>Red lehenga choli with dupatta.</p>
<p>For festival events — Navratri, Diwali, weddings, family functions.</p>
<p><strong>SET INCLUDES:</strong> Lehenga, choli, and dupatta.</p>
<p><strong>STITCHING OPTIONS:</strong></p>
<p>&nbsp;&nbsp;&bull; <strong>Standard Size S-XXL</strong> (+$23) — we stitch to a standard size before shipping.</p>
<p>&nbsp;&nbsp;&bull; <strong>Custom Stitching</strong> (+$37) — we stitch to your exact measurements (form emailed after order, 4-5 days extra).</p>
<p>&nbsp;&nbsp;&bull; <strong>Unstitched</strong> (+$0) — fabric shipped as-is, you arrange stitching locally.</p>
<p><strong>CARE:</strong> First Wash Dry Clean. Iron at moderate temperature.</p>
<p><strong>FABRIC:</strong> Silk. Approx weight: 2 kg (full set).</p>
<p><strong>SHIPPING:</strong> Ships within 2-3 days (processing). Standard delivery time varies by country. <strong>DHL Express delivers in 3-5 days</strong>. <strong>Free shipping is always Standard</strong> — DHL Express available at checkout for an additional fee.</p>
<p><strong>AVAILABILITY:</strong> <span style=""color:#1a7f37"">✓ In stock</span> — limited edition, available while supplier inventory lasts.</p>
<p><strong>QUESTIONS?</strong> Email <a href=""mailto:hello@luxemia.shop"">hello@luxemia.shop</a>, call <a href=""tel:+12153419990"">+1-215-341-9990</a>, or <a href=""https://wa.me/12153419990"" target=""_blank"">WhatsApp Mini</a> — I answer the phone myself in English, Hindi, or Gujarati.</p>
<p><strong>SEE ALSO:</strong> <a href=""https://luxemia.shop/returns"">Returns policy</a> | <a href=""https://luxemia.shop/size-guide"">Size guide</a> | <a href=""https://luxemia.shop/lehengas"">Browse all</a></p>
<p>— Mini, founder of LuxeMia</p>",LuxeMia,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas > Lehengas,Lehenga Choli,"red,silk,festival,indian ethnic wear,usa,ships from india,in stock,lehenga,lehenga choli",TRUE,Stitching,Standard,Size,S,2000,shopify,10,deny,manual,314.94,403.78,TRUE,TRUE,silk-red-festival-we-STA-S,https://kesimg.b-cdn.net/images/650/2026y/September/63743/Red-Silk-Festival-Wear-Beads-Work-Lehenga-Choli-Anj-3077-A(1).jpg,1,Red Lehenga Choli with Dupatta - Silk,FALSE,Red Lehenga Choli with Dupatta - Silk | LuxeMia,Red lehenga choli for festival — $315. Ships in 2-3 days. DHL Express 3-5 days. In stock.,active,https://kesimg.b-cdn.net/images/650/2026y/September/63743/Red-Silk-Festival-Wear-Beads-Work-Lehenga-Choli-Anj-3077-A(1).jpg,kg
silk-red-festival-wear-beads-work-lehenga-choli-403872,,,,,,,,Stitching,Standard,Size,M,2000,shopify,10,deny,manual,314.94,403.78,TRUE,TRUE,silk-red-festival-we-STA-M,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/September/63743/Red-Silk-Festival-Wear-Beads-Work-Lehenga-Choli-Anj-3077-A(1).jpg,kg
silk-red-festival-wear-beads-work-lehenga-choli-403872,,,,,,,,Stitching,Standard,Size,L,2000,shopify,10,deny,manual,314.94,403.78,TRUE,TRUE,silk-red-festival-we-STA-L,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/September/63743/Red-Silk-Festival-Wear-Beads-Work-Lehenga-Choli-Anj-3077-A(1).jpg,kg
silk-red-festival-wear-beads-work-lehenga-choli-403872,,,,,,,,Stitching,Standard,Size,XL,2000,shopify,10,deny,manual,314.94,403.78,TRUE,TRUE,silk-red-festival-we-STA-XL,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/September/63743/Red-Silk-Festival-Wear-Beads-Work-Lehenga-Choli-Anj-3077-A(1).jpg,kg
silk-red-festival-wear-beads-work-lehenga-choli-403872,,,,,,,,Stitching,Standard,Size,XXL,2000,shopify,10,deny,manual,314.94,403.78,TRUE,TRUE,silk-red-festival-we-STA-XXL,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/September/63743/Red-Silk-Festival-Wear-Beads-Work-Lehenga-Choli-Anj-3077-A(1).jpg,kg
silk-red-festival-wear-beads-work-lehenga-choli-403870,Red Lehenga Choli with Dupatta,"<p>Red lehenga choli with dupatta.</p>
<p>For festival events — Navratri, Diwali, weddings, family functions.</p>
<p><strong>SET INCLUDES:</strong> Lehenga, choli, and dupatta.</p>
<p><strong>STITCHING OPTIONS:</strong></p>
<p>&nbsp;&nbsp;&bull; <strong>Standard Size S-XXL</strong> (+$23) — we stitch to a standard size before shipping.</p>
<p>&nbsp;&nbsp;&bull; <strong>Custom Stitching</strong> (+$37) — we stitch to your exact measurements (form emailed after order, 4-5 days extra).</p>
<p>&nbsp;&nbsp;&bull; <strong>Unstitched</strong> (+$0) — fabric shipped as-is, you arrange stitching locally.</p>
<p><strong>CARE:</strong> First Wash Dry Clean. Iron at moderate temperature.</p>
<p><strong>FABRIC:</strong> Silk. Approx weight: 2 kg (full set).</p>
<p><strong>SHIPPING:</strong> Ships within 2-3 days (processing). Standard delivery time varies by country. <strong>DHL Express delivers in 3-5 days</strong>. <strong>Free shipping is always Standard</strong> — DHL Express available at checkout for an additional fee.</p>
<p><strong>AVAILABILITY:</strong> <span style=""color:#1a7f37"">✓ In stock</span> — limited edition, available while supplier inventory lasts.</p>
<p><strong>QUESTIONS?</strong> Email <a href=""mailto:hello@luxemia.shop"">hello@luxemia.shop</a>, call <a href=""tel:+12153419990"">+1-215-341-9990</a>, or <a href=""https://wa.me/12153419990"" target=""_blank"">WhatsApp Mini</a> — I answer the phone myself in English, Hindi, or Gujarati.</p>
<p><strong>SEE ALSO:</strong> <a href=""https://luxemia.shop/returns"">Returns policy</a> | <a href=""https://luxemia.shop/size-guide"">Size guide</a> | <a href=""https://luxemia.shop/lehengas"">Browse all</a></p>
<p>— Mini, founder of LuxeMia</p>",LuxeMia,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas > Lehengas,Lehenga Choli,"red,silk,festival,indian ethnic wear,usa,ships from india,in stock,lehenga,lehenga choli",TRUE,Stitching,Standard,Size,S,2000,shopify,10,deny,manual,354.94,455.06,TRUE,TRUE,silk-red-festival-we-STA-S,https://kesimg.b-cdn.net/images/650/2026y/September/63742/Red-Silk-Festival-Wear-Beads-Work-Lehenga-Choli-Anj-3075-A(1).jpg,1,Red Lehenga Choli with Dupatta,FALSE,Red Lehenga Choli with Dupatta | LuxeMia,Red lehenga choli for festival — $355. Ships in 2-3 days. DHL Express 3-5 days. In stock.,active,https://kesimg.b-cdn.net/images/650/2026y/September/63742/Red-Silk-Festival-Wear-Beads-Work-Lehenga-Choli-Anj-3075-A(1).jpg,kg
silk-red-festival-wear-beads-work-lehenga-choli-403870,,,,,,,,Stitching,Standard,Size,M,2000,shopify,10,deny,manual,354.94,455.06,TRUE,TRUE,silk-red-festival-we-STA-M,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/September/63742/Red-Silk-Festival-Wear-Beads-Work-Lehenga-Choli-Anj-3075-A(1).jpg,kg
silk-red-festival-wear-beads-work-lehenga-choli-403870,,,,,,,,Stitching,Standard,Size,L,2000,shopify,10,deny,manual,354.94,455.06,TRUE,TRUE,silk-red-festival-we-STA-L,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/September/63742/Red-Silk-Festival-Wear-Beads-Work-Lehenga-Choli-Anj-3075-A(1).jpg,kg
silk-red-festival-wear-beads-work-lehenga-choli-403870,,,,,,,,Stitching,Standard,Size,XL,2000,shopify,10,deny,manual,354.94,455.06,TRUE,TRUE,silk-red-festival-we-STA-XL,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/September/63742/Red-Silk-Festival-Wear-Beads-Work-Lehenga-Choli-Anj-3075-A(1).jpg,kg
