Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Lycra Mauve Festival Wear Sequins Work Readymade Saree,lycra-mauve-festival-wear-sequins-work-readymade-saree-394402,"<p><em>The kind of piece that photographs beautifully and feels even better in person.</em></p>

<h2>Lycra Mauve Festival Wear Sequins Work Readymade Saree</h2>

<p>Meet the <strong>Lycra Mauve Festival Wear Sequins Work Readymade Saree</strong> - a beautifully crafted <strong>saree</strong> made for festival wear celebrations. Whether you're dressing for a wedding ceremony, a festive reception, or any celebration that calls for something extraordinary, this piece delivers the perfect balance of heritage, elegance, and contemporary style.</p>

<h3>The Fabric</h3>

<p><strong>Lycra.</strong> Fluid, figure-flattering, and effortlessly comfortable - lycra drapes like a dream and moves with you, making it the perfect canvas for artistic detail.</p>

<h3>The Work</h3>

<p><strong>Sequins Work.</strong> Dazzling sequin artistry that catches the light with every movement - creating a showstopping sparkle effect.</p>

<h3>Why You'll Love This Piece</h3>

<ul>

  <li><strong>Colour:</strong> A carefully selected <strong>Mauve</strong> tone - flattering across skin tones, stunning in photographs, and rich under both natural and indoor lighting.</li>

  <li><strong>Fabric:</strong> Lycra - chosen for its drape, longevity, and the way it makes the wearer feel as good as they look.</li>

  <li><strong>Occasion:</strong> Crafted for festival wear - equally beautiful at intimate family gatherings and grand celebrations.</li>

  <li><strong>Silhouette:</strong> Designed to move with you, not restrict you - flattering across a wide range of body types.</li>

  <li><strong>Provenance:</strong> Sourced from India's finest textile regions and curated by our boutique team for exceptional quality.</li>

</ul>

<h3>Styling Notes</h3>

<p>Style with minimal accessories to let the craftsmanship speak - or layer with heirloom jewellery for full festive drama.</p>

<h3>Common Questions</h3>

<p><strong>What occasions is this saree suitable for?</strong> This saree works beautifully for festival gatherings, religious celebrations, Diwali parties, and any occasion that calls for effortless ethnic elegance.</p>

<p><strong>Is the blouse included?</strong> Yes, this saree comes with a matching blouse piece that can be stitched to your measurements.</p>

<p><strong>How do I care for this fabric?</strong> We recommend dry cleaning to preserve the embroidery and fabric quality. Store folded in a cool, dry place away from direct sunlight.</p>

<p><small>Tags: mauve, lycra, saree, buy online, Indian ethnic wear USA, boutique Indian fashion, designer, traditional Indian wear online</small></p>",LuxeMia,Apparel & Accessories > Clothing > Dresses,Sarees,"luxemia, indian-ethnic-wear, saree, free-shipping, mauve, lycra, sequins-work, festival-wear",TRUE,active,LXM-SAR-001,,Color,Mauve,,Size,Free Size,,,,,98.99,141.26,,TRUE,,,,,,shopify,50,DENY,,,TRUE,manual,https://kesimg.b-cdn.net/images/650/2026y/April/61108/Mauve-Lycra-Festival-Wear-Sequins-Work--Readymade-Saree-AQUA-66683(1).jpg,1,Lycra Mauve Festival Wear Sequins Work Readymade Saree,https://kesimg.b-cdn.net/images/650/2026y/April/61108/Mauve-Lycra-Festival-Wear-Sequins-Work--Readymade-Saree-AQUA-66683(1).jpg,FALSE,Lycra Mauve Festival Wear Sequins Work Readymade Saree,Shop the Lycra Mauve Festival Wear Sequins Work Readymade Saree at LuxeMia. Crafted in premium lycra with exquisite sequins work in Mauve. Perfect for festival wear. Free shipping on orders over $150. Dry clean only.,mauve,Apparel & Accessories > Clothing > Dresses,Female,Adult,,,,New,FALSE,,,,,
,lycra-mauve-festival-wear-sequins-work-readymade-saree-394402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/April/61108/Mauve-Lycra-Festival-Wear-Sequins-Work--Readymade-Saree-AQUA-66683(2).jpg,2,Lycra Mauve Festival Wear Sequins Work Readymade Saree - View 2,,,,,,,,,,,,,,,,,,
,lycra-mauve-festival-wear-sequins-work-readymade-saree-394402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/April/61108/Mauve-Lycra-Festival-Wear-Sequins-Work--Readymade-Saree-AQUA-66683(3).jpg,3,Lycra Mauve Festival Wear Sequins Work Readymade Saree - View 3,,,,,,,,,,,,,,,,,,
Lycra Blue Festival Wear Sequins Work Readymade Saree,lycra-blue-festival-wear-sequins-work-readymade-saree-394401,"<p><em>Where heritage meets modern sophistication - this is that piece.</em></p>

<h2>Lycra Blue Festival Wear Sequins Work Readymade Saree</h2>

<p>Meet the <strong>Lycra Blue Festival Wear Sequins Work Readymade Saree</strong> - a beautifully crafted <strong>saree</strong> made for festival wear celebrations. Whether you're dressing for a wedding ceremony, a festive reception, or any celebration that calls for something extraordinary, this piece delivers the perfect balance of heritage, elegance, and contemporary style.</p>

<h3>The Fabric</h3>

<p><strong>Lycra.</strong> Fluid, figure-flattering, and effortlessly comfortable - lycra drapes like a dream and moves with you, making it the perfect canvas for artistic detail.</p>

<h3>The Work</h3>

<p><strong>Sequins Work.</strong> Dazzling sequin artistry that catches the light with every movement - creating a showstopping sparkle effect.</p>

<h3>Why You'll Love This Piece</h3>

<ul>

  <li><strong>Colour:</strong> A carefully selected <strong>Blue</strong> tone - flattering across skin tones, stunning in photographs, and rich under both natural and indoor lighting.</li>

  <li><strong>Fabric:</strong> Lycra - chosen for its drape, longevity, and the way it makes the wearer feel as good as they look.</li>

  <li><strong>Occasion:</strong> Crafted for festival wear - equally beautiful at intimate family gatherings and grand celebrations.</li>

  <li><strong>Silhouette:</strong> Designed to move with you, not restrict you - flattering across a wide range of body types.</li>

  <li><strong>Provenance:</strong> Sourced from India's finest textile regions and curated by our boutique team for exceptional quality.</li>

</ul>

<h3>Styling Notes</h3>

<p>Pair with chandelier earrings and a sleek clutch for cocktail night, or dress it up with temple jewellery for puja ceremonies.</p>

<h3>Common Questions</h3>

<p><strong>What occasions is this saree suitable for?</strong> This saree works beautifully for festival gatherings, religious celebrations, Diwali parties, and any occasion that calls for effortless ethnic elegance.</p>

<p><strong>Is the blouse included?</strong> Yes, this saree comes with a matching blouse piece that can be stitched to your measurements.</p>

<p><strong>How do I care for this fabric?</strong> We recommend dry cleaning to preserve the embroidery and fabric quality. Store folded in a cool, dry place away from direct sunlight.</p>

<p><small>Tags: blue, lycra, saree, buy online, Indian ethnic wear USA, boutique Indian fashion, designer, traditional Indian wear online</small></p>",LuxeMia,Apparel & Accessories > Clothing > Dresses,Sarees,"luxemia, indian-ethnic-wear, saree, free-shipping, blue, lycra, sequins-work, festival-wear",TRUE,active,LXM-SAR-002,,Color,Blue,,Size,Free Size,,,,,98.99,141.26,,TRUE,,,,,,shopify,50,DENY,,,TRUE,manual,https://kesimg.b-cdn.net/images/650/2026y/April/61108/BluE-Lycra-Festival-Wear-Sequins-Work--Readymade-Saree-AQUA-66682(1).jpg,1,Lycra Blue Festival Wear Sequins Work Readymade Saree,https://kesimg.b-cdn.net/images/650/2026y/April/61108/BluE-Lycra-Festival-Wear-Sequins-Work--Readymade-Saree-AQUA-66682(1).jpg,FALSE,Lycra Blue Festival Wear Sequins Work Readymade Saree,Shop the Lycra Blue Festival Wear Sequins Work Readymade Saree at LuxeMia. Crafted in premium lycra with exquisite sequins work in Blue. Perfect for festival wear. Free shipping on orders over $150. Dry clean only.,blue,Apparel & Accessories > Clothing > Dresses,Female,Adult,,,,New,FALSE,,,,,
,lycra-blue-festival-wear-sequins-work-readymade-saree-394401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/April/61108/BluE-Lycra-Festival-Wear-Sequins-Work--Readymade-Saree-AQUA-66682(2).jpg,2,Lycra Blue Festival Wear Sequins Work Readymade Saree - View 2,,,,,,,,,,,,,,,,,,
,lycra-blue-festival-wear-sequins-work-readymade-saree-394401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/April/61108/BluE-Lycra-Festival-Wear-Sequins-Work--Readymade-Saree-AQUA-66682(3).jpg,3,Lycra Blue Festival Wear Sequins Work Readymade Saree - View 3,,,,,,,,,,,,,,,,,,
Lycra Brown Festival Wear Sequins Work Readymade Saree,lycra-brown-festival-wear-sequins-work-readymade-saree-394400,"<p><em>Not every outfit tells a story. This one does.</em></p>

<h2>Lycra Brown Festival Wear Sequins Work Readymade Saree</h2>

<p>Meet the <strong>Lycra Brown Festival Wear Sequins Work Readymade Saree</strong> - a beautifully crafted <strong>saree</strong> made for festival wear celebrations. Whether you're dressing for a wedding ceremony, a festive reception, or any celebration that calls for something extraordinary, this piece delivers the perfect balance of heritage, elegance, and contemporary style.</p>

<h3>The Fabric</h3>

<p><strong>Lycra.</strong> Fluid, figure-flattering, and effortlessly comfortable - lycra drapes like a dream and moves with you, making it the perfect canvas for artistic detail.</p>

<h3>The Work</h3>

<p><strong>Sequins Work.</strong> Dazzling sequin artistry that catches the light with every movement - creating a showstopping sparkle effect.</p>

<h3>Why You'll Love This Piece</h3>

<ul>

  <li><strong>Colour:</strong> A carefully selected <strong>Brown</strong> tone - flattering across skin tones, stunning in photographs, and rich under both natural and indoor lighting.</li>

  <li><strong>Fabric:</strong> Lycra - chosen for its drape, longevity, and the way it makes the wearer feel as good as they look.</li>

  <li><strong>Occasion:</strong> Crafted for festival wear - equally beautiful at intimate family gatherings and grand celebrations.</li>

  <li><strong>Silhouette:</strong> Designed to move with you, not restrict you - flattering across a wide range of body types.</li>

  <li><strong>Provenance:</strong> Sourced from India's finest textile regions and curated by our boutique team for exceptional quality.</li>

</ul>

<h3>Styling Notes</h3>

<p>Style with a sleek bun and bold bindi for timeless Indian elegance, or let it flow loose for contemporary bridal glamour.</p>

<h3>Common Questions</h3>

<p><strong>What occasions is this saree suitable for?</strong> This saree works beautifully for festival gatherings, religious celebrations, Diwali parties, and any occasion that calls for effortless ethnic elegance.</p>

<p><strong>Is the blouse included?</strong> Yes, this saree comes with a matching blouse piece that can be stitched to your measurements.</p>

<p><strong>How do I care for this fabric?</strong> We recommend dry cleaning to preserve the embroidery and fabric quality. Store folded in a cool, dry place away from direct sunlight.</p>

<p><small>Tags: brown, lycra, saree, buy online, Indian ethnic wear USA, boutique Indian fashion, designer, traditional Indian wear online</small></p>",LuxeMia,Apparel & Accessories > Clothing > Dresses,Sarees,"luxemia, indian-ethnic-wear, saree, free-shipping, brown, lycra, sequins-work, festival-wear",TRUE,active,LXM-SAR-003,,Color,Brown,,Size,Free Size,,,,,98.99,141.26,,TRUE,,,,,,shopify,50,DENY,,,TRUE,manual,https://kesimg.b-cdn.net/images/650/2026y/April/61108/BROWN-Lycra-Festival-Wear-Sequins-Work--Readymade-Saree-AQUA-66681(1).jpg,1,Lycra Brown Festival Wear Sequins Work Readymade Saree,https://kesimg.b-cdn.net/images/650/2026y/April/61108/BROWN-Lycra-Festival-Wear-Sequins-Work--Readymade-Saree-AQUA-66681(1).jpg,FALSE,Lycra Brown Festival Wear Sequins Work Readymade Saree,Shop the Lycra Brown Festival Wear Sequins Work Readymade Saree at LuxeMia. Crafted in premium lycra with exquisite sequins work in Brown. Perfect for festival wear. Free shipping on orders over $150. Dry clean only.,brown,Apparel & Accessories > Clothing > Dresses,Female,Adult,,,,New,FALSE,,,,,
,lycra-brown-festival-wear-sequins-work-readymade-saree-394400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/April/61108/BROWN-Lycra-Festival-Wear-Sequins-Work--Readymade-Saree-AQUA-66681(2).jpg,2,Lycra Brown Festival Wear Sequins Work Readymade Saree - View 2,,,,,,,,,,,,,,,,,,
,lycra-brown-festival-wear-sequins-work-readymade-saree-394400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kesimg.b-cdn.net/images/650/2026y/April/61108/BROWN-Lycra-Festival-Wear-Sequins-Work--Readymade-Saree-AQUA-66681(3).jpg,3,Lycra Brown Festival Wear Sequins Work Readymade Saree - View 3,,,,,,,,,,,,,,,,,,
Silk Blue Wedding Wear Embroidery Work Saree,silk-blue-wedding-wear-embroidery-work-saree-394443,"<p><em>Quiet confidence. Considered craftsmanship. One extraordinary outfit.</em></p>

<h2>Silk Blue Wedding Wear Embroidery Work Saree</h2>

<p>Meet the <strong>Silk Blue Wedding Wear Embroidery Work Saree</strong> - a beautifully crafted <strong>saree</strong> made for wedding wear celebrations. Whether you're dressing for a wedding ceremony, a festive reception, or any celebration that calls for something extraordinary, this piece delivers the perfect balance of heritage, elegance, and contemporary style.</p>

<h3>The Fabric</h3>

<p><strong>Silk.</strong> Luxurious, luminous, and steeped in tradition - silk catches the light with every fold, creating a regal presence that transforms any occasion into something extraordinary.</p>

<h3>The Work</h3>

<p><strong>Embroidery Work.</strong> Intricate embroidery that transforms fabric into art - each stitch placed with precision to create patterns that captivate up close and from across the room.</p>

<h3>Why You'll Love This Piece</h3>

<ul>

  <li><strong>Colour:</strong> A carefully selected <strong>Blue</strong> tone - flattering across skin tones, stunning in photographs, and rich under both natural and indoor lighting.</li>

  <li><strong>Fabric:</strong> Silk - chosen for its drape, longevity, and the way it makes the wearer feel as good as they look.</li>

  <li><strong>Occasion:</strong> Crafted for wedding wear - equally beautiful at intimate family gatherings and grand celebrations.</li>

  <li><strong>Silhouette:</strong> Designed to move with you, not restrict you - flattering across a wide range of body types.</li>

  <li><strong>Provenance:</strong> Sourced from India's finest textile regions and curated by our boutique team for exceptional quality.</li>

</ul>

<h3>Styling Notes</h3>

<p>Style with a sleek bun and bold bindi for timeless Indian elegance, or let it flow loose for contemporary bridal glamour.</p>

<h3>Common Questions</h3>

<p><strong>What occasions is this saree suitable for?</strong> This saree works beautifully for wedding ceremonies, reception events, engagement celebrations, and any occasion that calls for something extraordinary.</p>

<p><strong>Is the blouse included?</strong> Yes, this saree comes with a matching blouse piece that can be stitched to your measurements.</p>

<p><strong>How do I care for this fabric?</strong> We recommend dry cleaning to preserve the embroidery and fabric quality. Store folded in a cool, dry place away from direct sunlight.</p>

<p><small>Tags: blue, silk, saree, buy online, Indian ethnic wear USA, boutique Indian fashion, designer, traditional Indian wear online</small></p>",LuxeMia,Apparel & Accessories > Clothing > Dresses,Sarees,"luxemia, indian-ethnic-wear, saree, free-shipping, blue, silk, embroidery-work, wedding-wear",TRUE,active,LXM-SAR-004,,Color,Blue,,Size,Free Size,,,,,291.00,416.13,,TRUE,,,,,,shopify,50,DENY,,,TRUE,manual,https://kesimg.b-cdn.net/images/650/2026y/April/61118/Blue-Silk-Wedding-Wear-Embroidery-Work-Saree-SHAHI-POSHAK-8309(1).jpg,1,Silk Blue Wedding Wear Embroidery Work Saree,https://kesimg.b-cdn.net/images/650/2026y/April/61118/Blue-Silk-Wedding-Wear-Embroidery-Work-Saree-SHAHI-POSHAK-8309(1).jpg,FALSE,Silk Blue Wedding Wear Embroidery Work Saree,Shop the Silk Blue Wedding Wear Embroidery Work Saree at LuxeMia. Crafted in premium silk with exquisite embroidery work in Blue. Perfect for wedding wear. Free shipping on orders over $150. Dry clean only.,blue,Apparel & Accessories > Clothing > Dresses,Female,Adult,,,,New,FALSE,,,,,
