Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost,Included / International,Price / International,Compare At Price / International,Status
rani-pink-color-bids-embroidery-work-designer-lehenga-choli-bl1717,Rani Pink Embroidery Lehenga Choli — Luxe Embroidery for Couture & Gifting,,LuxeMia,,Lehenga Choli,"bridal-lehenga, free-shipping, indian-ethnic-wear, indian-lehenga, lehenga-choli, luxemia, rani-pink, wedding-lehenga",TRUE,Stitching,Unstitched,,,,,LUX-LHG-RANIP-21A5,,shopify,10,deny,manual,260.83,652.13,TRUE,TRUE,,,,,FALSE,Rani Pink Embroidery Lehenga Choli — Luxe Embroidery for ...,Shop this Rani Pink lehenga choli. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
rani-pink-color-bids-embroidery-work-designer-lehenga-choli-bl1717,,,,,,,,,Blouse Stitching (+$15),,,,,LUX-LHG-RANIP-21A5-BS,,shopify,10,deny,manual,275.83,667.13,TRUE,TRUE,,,,,,,,,kg,,,,,,
rani-pink-color-bids-embroidery-work-designer-lehenga-choli-bl1717,,,,,,,,,Full Stitching — Lehenga + Blouse (+$25),,,,,LUX-LHG-RANIP-21A5-FS,,shopify,10,deny,manual,285.83,677.13,TRUE,TRUE,,,,,,,,,kg,,,,,,
dusty-sky-blue-color-bids-embroidery-work-designer-lehenga-choli-bl1716,Dusty Sky blue Embroidery Lehenga Choli — Luxe Embroidery for Couture & Gifting,,LuxeMia,,Lehenga Choli,"bridal-lehenga, dusty-sky-blue, free-shipping, indian-ethnic-wear, indian-lehenga, lehenga-choli, luxemia, wedding-lehenga",TRUE,Stitching,Unstitched,,,,,LUX-LHG-DUSTY-AEA1,,shopify,10,deny,manual,260.83,652.13,TRUE,TRUE,,,,,FALSE,Dusty Sky blue Embroidery Lehenga Choli — Luxe Embroidery...,Shop this Dusty Sky Blue lehenga choli. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
dusty-sky-blue-color-bids-embroidery-work-designer-lehenga-choli-bl1716,,,,,,,,,Blouse Stitching (+$15),,,,,LUX-LHG-DUSTY-AEA1-BS,,shopify,10,deny,manual,275.83,667.13,TRUE,TRUE,,,,,,,,,kg,,,,,,
dusty-sky-blue-color-bids-embroidery-work-designer-lehenga-choli-bl1716,,,,,,,,,Full Stitching — Lehenga + Blouse (+$25),,,,,LUX-LHG-DUSTY-AEA1-FS,,shopify,10,deny,manual,285.83,677.13,TRUE,TRUE,,,,,,,,,kg,,,,,,
deep-maroon-color-sequence-embroidery-work-designer-lehenga-choli-bl1714,Deep Maroon Sequence Lehenga Choli — Luxe Sequence for Couture & Gifting,,LuxeMia,,Lehenga Choli,"bridal-lehenga, deep-maroon, free-shipping, indian-ethnic-wear, indian-lehenga, lehenga-choli, luxemia, sequence, wedding-lehenga",TRUE,Stitching,Unstitched,,,,,LUX-LHG-DEEPM-ADDD,,shopify,10,deny,manual,108.65,652.13,TRUE,TRUE,,,,,FALSE,Deep Maroon Sequence Lehenga Choli — Luxe Sequence for Co...,Shop this Deep Maroon lehenga choli. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
deep-maroon-color-sequence-embroidery-work-designer-lehenga-choli-bl1714,,,,,,,,,Blouse Stitching (+$15),,,,,LUX-LHG-DEEPM-ADDD-BS,,shopify,10,deny,manual,123.65,667.13,TRUE,TRUE,,,,,,,,,kg,,,,,,
deep-maroon-color-sequence-embroidery-work-designer-lehenga-choli-bl1714,,,,,,,,,Full Stitching — Lehenga + Blouse (+$25),,,,,LUX-LHG-DEEPM-ADDD-FS,,shopify,10,deny,manual,133.65,677.13,TRUE,TRUE,,,,,,,,,kg,,,,,,
pista-green-color-designer-sequence-embroidery-work-lehenga-choli-bl1713,Pista Green Sequence Lehenga Choli — Luxe Sequence for Couture & Gifting,,LuxeMia,,Lehenga Choli,"bridal-lehenga, free-shipping, green, indian-ethnic-wear, indian-lehenga, lehenga-choli, luxemia, sequence, wedding-lehenga",TRUE,Stitching,Unstitched,,,,,LUX-LHG-PISTA-4BC7,,shopify,10,deny,manual,108.65,478.22,TRUE,TRUE,,,,,FALSE,Pista Green Sequence Lehenga Choli — Luxe Sequence for Co...,Shop this Green lehenga choli. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
