Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost,Included / International,Price / International,Compare At Price / International,Status
net-cream-eid-wear-embroidery-work-readymade-plazzo-suit,Net Cream Eid Wear Embroidery Work Readymade Palazzo Suit,,LuxeMia,,Pakistani Readymade Suit,"eid-wear, embroidery-work, ethnic-suit, free-shipping, indian-ethnic-wear, indian-suit, luxemia, net, pakistani-suit, readymade-suit",TRUE,Size,38,Color,Cream,,,LXM-390945-38,,shopify,10,deny,manual,51.11,,TRUE,TRUE,,,,,FALSE,Net Cream Eid Wear Embroidery Work Readymade Palazzo Suit,Shop this Net Pakistani suit for eid wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
net-cream-eid-wear-embroidery-work-readymade-plazzo-suit,,,,,,,,,40,,Cream,,,LXM-390945-40,,shopify,10,deny,manual,51.11,,TRUE,TRUE,,,,,,,,,kg,,,,,,
net-cream-eid-wear-embroidery-work-readymade-plazzo-suit,,,,,,,,,42,,Cream,,,LXM-390945-42,,shopify,10,deny,manual,51.11,,TRUE,TRUE,,,,,,,,,kg,,,,,,
net-cream-eid-wear-embroidery-work-readymade-plazzo-suit,,,,,,,,,44,,Cream,,,LXM-390945-44,,shopify,10,deny,manual,51.11,,TRUE,TRUE,,,,,,,,,kg,,,,,,
net-cream-eid-wear-embroidery-work-readymade-plazzo-suit,,,,,,,,,46,,Cream,,,LXM-390945-46,,shopify,10,deny,manual,51.11,,TRUE,TRUE,,,,,,,,,kg,,,,,,
chinon-teal-blue-wedding-wear-sequins-work-readymade-plazzo-suit,Chinon Teal Blue Wedding Wear Sequins Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"bridal-suit, chinon, ethnic-suit, free-shipping, indian-ethnic-wear, indian-suit, luxemia, sequins-work, teal-blue, wedding-suit, wedding-wear",TRUE,Size,40,Color,Teal blue,,,LXM-390291-40,,shopify,10,deny,manual,95.12,,TRUE,TRUE,,,,,FALSE,Chinon Teal Blue Wedding Wear Sequins Work Readymade Pala...,Shop this Teal Blue Chinon wedding suit for wedding wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
chinon-teal-blue-wedding-wear-sequins-work-readymade-plazzo-suit,,,,,,,,,42,,Teal blue,,,LXM-390291-42,,shopify,10,deny,manual,95.12,,TRUE,TRUE,,,,,,,,,kg,,,,,,
chinon-yellow-wedding-wear-sequins-work-readymade-plazzo-suit,Chinon Yellow Wedding Wear Sequins Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"bridal-suit, chinon, ethnic-suit, free-shipping, indian-ethnic-wear, indian-suit, luxemia, sequins-work, wedding-suit, wedding-wear, yellow",TRUE,Size,40,Color,Yellow,,,LXM-390290-40,,shopify,10,deny,manual,95.12,,TRUE,TRUE,,,,,FALSE,Chinon Yellow Wedding Wear Sequins Work Readymade Palazzo...,Shop this Yellow Chinon wedding suit for wedding wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
chinon-yellow-wedding-wear-sequins-work-readymade-plazzo-suit,,,,,,,,,42,,Yellow,,,LXM-390290-42,,shopify,10,deny,manual,95.12,,TRUE,TRUE,,,,,,,,,kg,,,,,,
georgette-mint-green-wedding-wear-hand-work-readymade-plazzo-suit,Georgette Mint Green Wedding Wear Hand Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"bridal-suit, ethnic-suit, free-shipping, georgette, hand-work, indian-ethnic-wear, indian-suit, luxemia, mint-green, wedding-suit, wedding-wear",TRUE,Size,40,Color,Mint green,,,LXM-390139-40,,shopify,10,deny,manual,118.47,,TRUE,TRUE,,,,,FALSE,Georgette Mint Green Wedding Wear Hand Work Readymade Pal...,Shop this Mint Green Georgette wedding suit for wedding wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
