Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Variant Image,Variant Weight Unit
rayon-orange-festival-wear-mirror-work-readymade-lehenga-choli-with-koti-404554,Orange Rayon Folk Motifs Lehenga Choli,"<p>Orange rayon lehenga choli with mirror work.</p>
<p>For festival events — Navratri, Diwali, festivals, family functions.</p>
<p><strong>SET INCLUDES:</strong> Lehenga, choli, and dupatta.</p>
<p><strong>STITCHING:</strong> Pre-stitched readymade.</p>
<p><strong>ALTERATIONS:</strong> We offer alterations to your desired measurements for an additional fee. Email <a href=""mailto:hello@luxemia.shop?subject=Alteration%20request%20for%20ws-leh-001"">hello@luxemia.shop</a> after ordering with your measurements.</p>
<p><strong>CARE:</strong> First Wash Dry Clean. Iron at moderate temperature.</p>
<p><strong>FABRIC:</strong> Rayon (semi-synthetic). Approx weight: 2 kg (lehenga set).</p>
<p><strong>SHIPPING:</strong> Ships within 2-3 days (processing). Standard delivery time varies by country. <strong>DHL Express delivers in 3-5 days</strong>. <strong>Free shipping is always Standard</strong> — DHL Express available at checkout for an additional fee.</p>
<p><strong>AVAILABILITY:</strong> <span style=""color:#1a7f37"">✓ In stock</span> — limited edition, available while supplier inventory lasts.</p>
<p><strong>QUESTIONS?</strong> Email <a href=""mailto:hello@luxemia.shop"">hello@luxemia.shop</a>, call <a href=""tel:+12153419990"">+1-215-341-9990</a>, or <a href=""https://wa.me/12153419990"" target=""_blank"">WhatsApp Mini</a> — I answer the phone myself in English, Hindi, or Gujarati.</p>
<p><strong>SEE ALSO:</strong> <a href=""https://luxemia.shop/returns"">Returns policy</a> | <a href=""https://luxemia.shop/size-guide"">Size guide</a> | <a href=""https://luxemia.shop/blog/how-to-measure-for-indian-ethnic-wear"">How to measure</a> | <a href=""https://luxemia.shop/lehengas"">Browse all lehengas</a></p>
<p>— Mini, founder of LuxeMia</p>",LuxeMia,Clothing,Lehenga Choli,"orange,rayon,festival wear,mirror work,lehenga,lehenga choli,indian ethnic wear,usa,ships from india,festive,navratri,in stock",TRUE,Stitching,Readymade,Size,"Bust 42""",2000,shopify,10,deny,manual,55.44,71.09,TRUE,TRUE,ws-leh-001-REA-BUST-42,https://luxemia.shop/images/products/lehengas/rayon-orange-festival-wear-mirror-work-readymade-lehenga-choli-with-koti-404554-1.jpg,1,Orange Rayon Folk Motifs Lehenga Choli,FALSE,Orange Rayon Folk Motifs Lehenga Choli | LuxeMia,Orange Rayon Mirror lehenga choli for festival — $55. Ships in 2-3 days. DHL Express 3-5 days. In stock.,active,https://luxemia.shop/images/products/lehengas/rayon-orange-festival-wear-mirror-work-readymade-lehenga-choli-with-koti-404554-1.jpg,kg
rayon-orange-festival-wear-mirror-work-readymade-lehenga-choli-with-koti-404554,,,,,,,,,,,,,,,,,,,,,,https://luxemia.shop/images/products/lehengas/rayon-orange-festival-wear-mirror-work-readymade-lehenga-choli-with-koti-404554-2.jpg,2,Orange Rayon Folk Motifs Lehenga Choli - View 2,,,,,,
rayon-orange-festival-wear-mirror-work-readymade-lehenga-choli-with-koti-404554,,,,,,,,,,,,,,,,,,,,,,https://luxemia.shop/images/products/lehengas/rayon-orange-festival-wear-mirror-work-readymade-lehenga-choli-with-koti-404554-3.jpg,3,Orange Rayon Folk Motifs Lehenga Choli - View 3,,,,,,
rayon-orange-festival-wear-mirror-work-readymade-lehenga-choli-with-koti-404554,,,,,,,,,,,,,,,,,,,,,,https://luxemia.shop/images/products/lehengas/rayon-orange-festival-wear-mirror-work-readymade-lehenga-choli-with-koti-404554-4.jpg,4,Orange Rayon Folk Motifs Lehenga Choli - View 4,,,,,,
rayon-orange-festival-wear-mirror-work-readymade-lehenga-choli-with-koti-404554,,,,,,,,,,,,,,,,,,,,,,https://luxemia.shop/images/products/lehengas/rayon-orange-festival-wear-mirror-work-readymade-lehenga-choli-with-koti-404554-5.jpg,5,Orange Rayon Folk Motifs Lehenga Choli - View 5,,,,,,
rayon-multicolor-festival-wear-mirror-work-readymade-navratri-lehenga-choli-404552,Multicolor Rayon Mirror Work Lehenga Choli with Striped Pattern,"<p>Multicolor rayon lehenga choli with mirror work.</p>
<p>For festival events — Navratri, Diwali, festivals, family functions.</p>
<p><strong>SET INCLUDES:</strong> Lehenga, choli, and dupatta.</p>
<p><strong>STITCHING:</strong> Pre-stitched readymade.</p>
<p><strong>ALTERATIONS:</strong> We offer alterations to your desired measurements for an additional fee. Email <a href=""mailto:hello@luxemia.shop?subject=Alteration%20request%20for%20ws-leh-002"">hello@luxemia.shop</a> after ordering with your measurements.</p>
<p><strong>CARE:</strong> First Wash Dry Clean. Iron at moderate temperature.</p>
<p><strong>FABRIC:</strong> Rayon (semi-synthetic). Approx weight: 2 kg (lehenga set).</p>
<p><strong>SHIPPING:</strong> Ships within 2-3 days (processing). Standard delivery time varies by country. <strong>DHL Express delivers in 3-5 days</strong>. <strong>Free shipping is always Standard</strong> — DHL Express available at checkout for an additional fee.</p>
<p><strong>AVAILABILITY:</strong> <span style=""color:#1a7f37"">✓ In stock</span> — limited edition, available while supplier inventory lasts.</p>
<p><strong>QUESTIONS?</strong> Email <a href=""mailto:hello@luxemia.shop"">hello@luxemia.shop</a>, call <a href=""tel:+12153419990"">+1-215-341-9990</a>, or <a href=""https://wa.me/12153419990"" target=""_blank"">WhatsApp Mini</a> — I answer the phone myself in English, Hindi, or Gujarati.</p>
<p><strong>SEE ALSO:</strong> <a href=""https://luxemia.shop/returns"">Returns policy</a> | <a href=""https://luxemia.shop/size-guide"">Size guide</a> | <a href=""https://luxemia.shop/blog/how-to-measure-for-indian-ethnic-wear"">How to measure</a> | <a href=""https://luxemia.shop/lehengas"">Browse all lehengas</a></p>
<p>— Mini, founder of LuxeMia</p>",LuxeMia,Clothing,Lehenga Choli,"multicolor,rayon,festival wear,mirror work,lehenga,lehenga choli,indian ethnic wear,usa,ships from india,festive,navratri,in stock",TRUE,Stitching,Readymade,Size,"Bust 38""",2000,shopify,10,deny,manual,65.44,83.91,TRUE,TRUE,ws-leh-002-REA-BUST-38,https://luxemia.shop/images/products/lehengas/rayon-multicolor-festival-wear-mirror-work-readymade-navratri-lehenga-choli-404552-1.jpg,1,Multicolor Rayon Mirror Work Lehenga Choli with Striped Pattern,FALSE,Multicolor Rayon Mirror Work Lehenga Choli with S… | LuxeMia,Multicolor Rayon Mirror lehenga choli for festival — $65. Ships in 2-3 days. DHL Express 3-5 days. In stock.,active,https://luxemia.shop/images/products/lehengas/rayon-multicolor-festival-wear-mirror-work-readymade-navratri-lehenga-choli-404552-1.jpg,kg
rayon-multicolor-festival-wear-mirror-work-readymade-navratri-lehenga-choli-404552,,,,,,,,,,,,,,,,,,,,,,https://luxemia.shop/images/products/lehengas/rayon-multicolor-festival-wear-mirror-work-readymade-navratri-lehenga-choli-404552-2.jpg,2,Multicolor Rayon Mirror Work Lehenga Choli with Striped Pattern - View 2,,,,,,
rayon-multicolor-festival-wear-mirror-work-readymade-navratri-lehenga-choli-404552,,,,,,,,,,,,,,,,,,,,,,https://luxemia.shop/images/products/lehengas/rayon-multicolor-festival-wear-mirror-work-readymade-navratri-lehenga-choli-404552-3.jpg,3,Multicolor Rayon Mirror Work Lehenga Choli with Striped Pattern - View 3,,,,,,
rayon-multicolor-festival-wear-mirror-work-readymade-navratri-lehenga-choli-404552,,,,,,,,,,,,,,,,,,,,,,https://luxemia.shop/images/products/lehengas/rayon-multicolor-festival-wear-mirror-work-readymade-navratri-lehenga-choli-404552-4.jpg,4,Multicolor Rayon Mirror Work Lehenga Choli with Striped Pattern - View 4,,,,,,
rayon-multicolor-festival-wear-mirror-work-readymade-navratri-lehenga-choli-404552,,,,,,,,,,,,,,,,,,,,,,https://luxemia.shop/images/products/lehengas/rayon-multicolor-festival-wear-mirror-work-readymade-navratri-lehenga-choli-404552-5.jpg,5,Multicolor Rayon Mirror Work Lehenga Choli with Striped Pattern - View 5,,,,,,
