Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Variant Image,Variant Weight Unit
white-occasion-wear-georgette-lehenga-choli-with-dupatta-7079,White Georgette Occasion Wear Lehenga Choli with Dupatta,"<h2>White Georgette Occasion Wear Lehenga Choli with Dupatta</h2><p>This legacy catalog record identifies the product by the title shown above. Use the current product page for the exact materials, included pieces, stitching status, measurements, selectable variants, price, availability and processing classification; details that are not stated there are not implied by photographs or category labels.</p><h3>Catalog fields</h3><ul><li><strong>Catalog type:</strong> Lehenga Choli</li><li><strong>Stitching:</strong> Semi Stitched</li><li><strong>Size:</strong> XS</li></ul><h3>Before ordering</h3><p>Review the current <a href=""https://luxemia.shop/shipping"">shipping policy</a>, <a href=""https://luxemia.shop/returns"">returns and covered-order-issue policy</a>, and <a href=""https://luxemia.shop/sizing-measurements-guide"">measurement guide</a>. Change-of-mind purchases are final sale. Damage, defects, material misdescription, an incorrect item or missing pieces should be reported promptly—preferably within 48 hours—with available photos and, when available, unboxing evidence. A missing video does not by itself remove rights that cannot legally be excluded.</p>",LuxeMia,Clothing,Lehenga Choli,"white, white lehenga, white lehenga choli, white georgette lehenga, georgette, georgette lehenga, georgette lehenga choli, occasion, occasion lehenga, occasion lehenga choli, occasion wear, lehenga, lehenga choli, semi stitched, semi stitched lehenga, with dupatta",FALSE,Stitching,Semi Stitched,Size,XS,2000,shopify,,deny,manual,97.99,140.99,TRUE,TRUE,,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_21-VOL-34%20By%20ZEEL%20COTHING%207079%20WHITE.jpeg,1,White Georgette Occasion Wear Lehenga Choli with Dupatta — product image 1,FALSE,Buy White Georgette Occasion Wear Lehenga Choli Online | LuxeMia,"Review White Georgette Occasion Wear Lehenga Choli with Dupatta at LuxeMia. Confirm the exact product listing for materials, included pieces, options, measurements, price, availability and processing.",draft,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_21-VOL-34%20By%20ZEEL%20COTHING%207079%20WHITE.jpeg,kg
orange-occasion-wear-georgette-lehenga-choli-with-dupatta-7081,Orange Georgette Occasion Wear Lehenga Choli with Dupatta,"<h2>Orange Georgette Occasion Wear Lehenga Choli with Dupatta</h2><p>This legacy catalog record identifies the product by the title shown above. Use the current product page for the exact materials, included pieces, stitching status, measurements, selectable variants, price, availability and processing classification; details that are not stated there are not implied by photographs or category labels.</p><h3>Catalog fields</h3><ul><li><strong>Catalog type:</strong> Lehenga Choli</li><li><strong>Stitching:</strong> Semi Stitched</li><li><strong>Size:</strong> XS</li></ul><h3>Before ordering</h3><p>Review the current <a href=""https://luxemia.shop/shipping"">shipping policy</a>, <a href=""https://luxemia.shop/returns"">returns and covered-order-issue policy</a>, and <a href=""https://luxemia.shop/sizing-measurements-guide"">measurement guide</a>. Change-of-mind purchases are final sale. Damage, defects, material misdescription, an incorrect item or missing pieces should be reported promptly—preferably within 48 hours—with available photos and, when available, unboxing evidence. A missing video does not by itself remove rights that cannot legally be excluded.</p>",LuxeMia,Clothing,Lehenga Choli,"orange, orange lehenga, orange lehenga choli, orange georgette lehenga, georgette, georgette lehenga, georgette lehenga choli, occasion, occasion lehenga, occasion lehenga choli, occasion wear, lehenga, lehenga choli, semi stitched, semi stitched lehenga, with dupatta",FALSE,Stitching,Semi Stitched,Size,XS,2000,shopify,,deny,manual,91.99,131.99,TRUE,TRUE,,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_21-VOL-34%20By%20ZEEL%20COTHING%207081%20ORANGE.jpeg,1,Orange Georgette Occasion Wear Lehenga Choli with Dupatta — product image 1,FALSE,Buy Orange Georgette Occasion Wear Lehenga Choli Online | LuxeMia,"Review Orange Georgette Occasion Wear Lehenga Choli with Dupatta at LuxeMia. Confirm the exact product listing for materials, included pieces, options, measurements, price, availability and processing.",draft,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_21-VOL-34%20By%20ZEEL%20COTHING%207081%20ORANGE.jpeg,kg
pink-occasion-wear-georgette-lehenga-choli-with-dupatta-7082,Pink Georgette Occasion Wear Lehenga Choli with Dupatta,"<h2>Pink Georgette Occasion Wear Lehenga Choli with Dupatta</h2><p>This legacy catalog record identifies the product by the title shown above. Use the current product page for the exact materials, included pieces, stitching status, measurements, selectable variants, price, availability and processing classification; details that are not stated there are not implied by photographs or category labels.</p><h3>Catalog fields</h3><ul><li><strong>Catalog type:</strong> Lehenga Choli</li><li><strong>Stitching:</strong> Semi Stitched</li><li><strong>Size:</strong> XS</li></ul><h3>Before ordering</h3><p>Review the current <a href=""https://luxemia.shop/shipping"">shipping policy</a>, <a href=""https://luxemia.shop/returns"">returns and covered-order-issue policy</a>, and <a href=""https://luxemia.shop/sizing-measurements-guide"">measurement guide</a>. Change-of-mind purchases are final sale. Damage, defects, material misdescription, an incorrect item or missing pieces should be reported promptly—preferably within 48 hours—with available photos and, when available, unboxing evidence. A missing video does not by itself remove rights that cannot legally be excluded.</p>",LuxeMia,Clothing,Lehenga Choli,"pink, pink lehenga, pink lehenga choli, pink georgette lehenga, georgette, georgette lehenga, georgette lehenga choli, occasion, occasion lehenga, occasion lehenga choli, occasion wear, lehenga, lehenga choli, semi stitched, semi stitched lehenga, with dupatta",FALSE,Stitching,Semi Stitched,Size,XS,2000,shopify,,deny,manual,91.99,131.99,TRUE,TRUE,,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_22-VOL-34%20By%20ZEEL%20COTHING%207082%20PINK.jpeg,1,Pink Georgette Occasion Wear Lehenga Choli with Dupatta — product image 1,FALSE,Buy Pink Georgette Occasion Wear Lehenga Choli Online | LuxeMia,"Review Pink Georgette Occasion Wear Lehenga Choli with Dupatta at LuxeMia. Confirm the exact product listing for materials, included pieces, options, measurements, price, availability and processing.",draft,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_22-VOL-34%20By%20ZEEL%20COTHING%207082%20PINK.jpeg,kg
peach-occasion-wear-georgette-lehenga-choli-with-dupatta-7083,Peach Georgette Occasion Wear Lehenga Choli with Dupatta,"<h2>Peach Georgette Occasion Wear Lehenga Choli with Dupatta</h2><p>This legacy catalog record identifies the product by the title shown above. Use the current product page for the exact materials, included pieces, stitching status, measurements, selectable variants, price, availability and processing classification; details that are not stated there are not implied by photographs or category labels.</p><h3>Catalog fields</h3><ul><li><strong>Catalog type:</strong> Lehenga Choli</li><li><strong>Stitching:</strong> Semi Stitched</li><li><strong>Size:</strong> XS</li></ul><h3>Before ordering</h3><p>Review the current <a href=""https://luxemia.shop/shipping"">shipping policy</a>, <a href=""https://luxemia.shop/returns"">returns and covered-order-issue policy</a>, and <a href=""https://luxemia.shop/sizing-measurements-guide"">measurement guide</a>. Change-of-mind purchases are final sale. Damage, defects, material misdescription, an incorrect item or missing pieces should be reported promptly—preferably within 48 hours—with available photos and, when available, unboxing evidence. A missing video does not by itself remove rights that cannot legally be excluded.</p>",LuxeMia,Clothing,Lehenga Choli,"peach, peach lehenga, peach lehenga choli, peach georgette lehenga, georgette, georgette lehenga, georgette lehenga choli, occasion, occasion lehenga, occasion lehenga choli, occasion wear, lehenga, lehenga choli, semi stitched, semi stitched lehenga, with dupatta",FALSE,Stitching,Semi Stitched,Size,XS,2000,shopify,,deny,manual,91.99,131.99,TRUE,TRUE,,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_22-VOL-34%20By%20ZEEL%20COTHING%207083%20PEACH.jpeg,1,Peach Georgette Occasion Wear Lehenga Choli with Dupatta — product image 1,FALSE,Buy Peach Georgette Occasion Wear Lehenga Choli Online | LuxeMia,"Review Peach Georgette Occasion Wear Lehenga Choli with Dupatta at LuxeMia. Confirm the exact product listing for materials, included pieces, options, measurements, price, availability and processing.",draft,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_22-VOL-34%20By%20ZEEL%20COTHING%207083%20PEACH.jpeg,kg
olive-occasion-wear-georgette-lehenga-choli-with-dupatta-7084,Olive Georgette Occasion Wear Lehenga Choli with Dupatta,"<h2>Olive Georgette Occasion Wear Lehenga Choli with Dupatta</h2><p>This legacy catalog record identifies the product by the title shown above. Use the current product page for the exact materials, included pieces, stitching status, measurements, selectable variants, price, availability and processing classification; details that are not stated there are not implied by photographs or category labels.</p><h3>Catalog fields</h3><ul><li><strong>Catalog type:</strong> Lehenga Choli</li><li><strong>Stitching:</strong> Semi Stitched</li><li><strong>Size:</strong> XS</li></ul><h3>Before ordering</h3><p>Review the current <a href=""https://luxemia.shop/shipping"">shipping policy</a>, <a href=""https://luxemia.shop/returns"">returns and covered-order-issue policy</a>, and <a href=""https://luxemia.shop/sizing-measurements-guide"">measurement guide</a>. Change-of-mind purchases are final sale. Damage, defects, material misdescription, an incorrect item or missing pieces should be reported promptly—preferably within 48 hours—with available photos and, when available, unboxing evidence. A missing video does not by itself remove rights that cannot legally be excluded.</p>",LuxeMia,Clothing,Lehenga Choli,"olive, olive lehenga, olive lehenga choli, olive georgette lehenga, georgette, georgette lehenga, georgette lehenga choli, occasion, occasion lehenga, occasion lehenga choli, occasion wear, lehenga, lehenga choli, semi stitched, semi stitched lehenga, with dupatta",FALSE,Stitching,Semi Stitched,Size,XS,2000,shopify,,deny,manual,91.99,131.99,TRUE,TRUE,,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_22-VOL-34%20By%20ZEEL%20COTHING%207084%20OLIVE.jpeg,1,Olive Georgette Occasion Wear Lehenga Choli with Dupatta — product image 1,FALSE,Buy Olive Georgette Occasion Wear Lehenga Choli Online | LuxeMia,"Review Olive Georgette Occasion Wear Lehenga Choli with Dupatta at LuxeMia. Confirm the exact product listing for materials, included pieces, options, measurements, price, availability and processing.",draft,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_22-VOL-34%20By%20ZEEL%20COTHING%207084%20OLIVE.jpeg,kg
pink-party-wear-georgette-lehenga-choli-with-dupatta-7088,Pink Georgette Party Wear Lehenga Choli with Dupatta,"<h2>Pink Georgette Party Wear Lehenga Choli with Dupatta</h2><p>This legacy catalog record identifies the product by the title shown above. Use the current product page for the exact materials, included pieces, stitching status, measurements, selectable variants, price, availability and processing classification; details that are not stated there are not implied by photographs or category labels.</p><h3>Catalog fields</h3><ul><li><strong>Catalog type:</strong> Lehenga Choli</li><li><strong>Stitching:</strong> Semi Stitched</li><li><strong>Size:</strong> XS</li></ul><h3>Before ordering</h3><p>Review the current <a href=""https://luxemia.shop/shipping"">shipping policy</a>, <a href=""https://luxemia.shop/returns"">returns and covered-order-issue policy</a>, and <a href=""https://luxemia.shop/sizing-measurements-guide"">measurement guide</a>. Change-of-mind purchases are final sale. Damage, defects, material misdescription, an incorrect item or missing pieces should be reported promptly—preferably within 48 hours—with available photos and, when available, unboxing evidence. A missing video does not by itself remove rights that cannot legally be excluded.</p>",LuxeMia,Clothing,Lehenga Choli,"pink, pink lehenga, pink lehenga choli, pink georgette lehenga, georgette, georgette lehenga, georgette lehenga choli, party, party lehenga, party lehenga choli, party wear, lehenga, lehenga choli, semi stitched, semi stitched lehenga, with dupatta",FALSE,Stitching,Semi Stitched,Size,XS,2000,shopify,,deny,manual,83.99,120.99,TRUE,TRUE,,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_22-VOL-34%20By%20ZEEL%20COTHING%207088%20PINK.jpeg,1,Pink Georgette Party Wear Lehenga Choli with Dupatta — product image 1,FALSE,Buy Pink Georgette Party Wear Lehenga Choli Online | LuxeMia,"Review Pink Georgette Party Wear Lehenga Choli with Dupatta at LuxeMia. Confirm the exact product listing for materials, included pieces, options, measurements, price, availability and processing.",draft,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_22-VOL-34%20By%20ZEEL%20COTHING%207088%20PINK.jpeg,kg
red-party-wear-georgette-lehenga-choli-with-dupatta-7088,Red Georgette Party Wear Lehenga Choli with Dupatta,"<h2>Red Georgette Party Wear Lehenga Choli with Dupatta</h2><p>This legacy catalog record identifies the product by the title shown above. Use the current product page for the exact materials, included pieces, stitching status, measurements, selectable variants, price, availability and processing classification; details that are not stated there are not implied by photographs or category labels.</p><h3>Catalog fields</h3><ul><li><strong>Catalog type:</strong> Lehenga Choli</li><li><strong>Stitching:</strong> Semi Stitched</li><li><strong>Size:</strong> XS</li></ul><h3>Before ordering</h3><p>Review the current <a href=""https://luxemia.shop/shipping"">shipping policy</a>, <a href=""https://luxemia.shop/returns"">returns and covered-order-issue policy</a>, and <a href=""https://luxemia.shop/sizing-measurements-guide"">measurement guide</a>. Change-of-mind purchases are final sale. Damage, defects, material misdescription, an incorrect item or missing pieces should be reported promptly—preferably within 48 hours—with available photos and, when available, unboxing evidence. A missing video does not by itself remove rights that cannot legally be excluded.</p>",LuxeMia,Clothing,Lehenga Choli,"red, red lehenga, red lehenga choli, red georgette lehenga, georgette, georgette lehenga, georgette lehenga choli, party, party lehenga, party lehenga choli, party wear, lehenga, lehenga choli, semi stitched, semi stitched lehenga, with dupatta",FALSE,Stitching,Semi Stitched,Size,XS,2000,shopify,,deny,manual,83.99,120.99,TRUE,TRUE,,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_22-VOL-34%20By%20ZEEL%20COTHING%207088%20RED.jpeg,1,Red Georgette Party Wear Lehenga Choli with Dupatta — product image 1,FALSE,Buy Red Georgette Party Wear Lehenga Choli Online | LuxeMia,"Review Red Georgette Party Wear Lehenga Choli with Dupatta at LuxeMia. Confirm the exact product listing for materials, included pieces, options, measurements, price, availability and processing.",draft,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_22-VOL-34%20By%20ZEEL%20COTHING%207088%20RED.jpeg,kg
yellow-party-wear-georgette-lehenga-choli-with-dupatta-7088,Yellow Georgette Party Wear Lehenga Choli with Dupatta,"<h2>Yellow Georgette Party Wear Lehenga Choli with Dupatta</h2><p>This legacy catalog record identifies the product by the title shown above. Use the current product page for the exact materials, included pieces, stitching status, measurements, selectable variants, price, availability and processing classification; details that are not stated there are not implied by photographs or category labels.</p><h3>Catalog fields</h3><ul><li><strong>Catalog type:</strong> Lehenga Choli</li><li><strong>Stitching:</strong> Semi Stitched</li><li><strong>Size:</strong> XS</li></ul><h3>Before ordering</h3><p>Review the current <a href=""https://luxemia.shop/shipping"">shipping policy</a>, <a href=""https://luxemia.shop/returns"">returns and covered-order-issue policy</a>, and <a href=""https://luxemia.shop/sizing-measurements-guide"">measurement guide</a>. Change-of-mind purchases are final sale. Damage, defects, material misdescription, an incorrect item or missing pieces should be reported promptly—preferably within 48 hours—with available photos and, when available, unboxing evidence. A missing video does not by itself remove rights that cannot legally be excluded.</p>",LuxeMia,Clothing,Lehenga Choli,"yellow, yellow lehenga, yellow lehenga choli, yellow georgette lehenga, georgette, georgette lehenga, georgette lehenga choli, party, party lehenga, party lehenga choli, party wear, lehenga, lehenga choli, semi stitched, semi stitched lehenga, with dupatta",FALSE,Stitching,Semi Stitched,Size,XS,2000,shopify,,deny,manual,83.99,120.99,TRUE,TRUE,,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_23-VOL-34%20By%20ZEEL%20COTHING%207088%20YELLOW.jpeg,1,Yellow Georgette Party Wear Lehenga Choli with Dupatta — product image 1,FALSE,Buy Yellow Georgette Party Wear Lehenga Choli Online | LuxeMia,"Review Yellow Georgette Party Wear Lehenga Choli with Dupatta at LuxeMia. Confirm the exact product listing for materials, included pieces, options, measurements, price, availability and processing.",draft,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_23-VOL-34%20By%20ZEEL%20COTHING%207088%20YELLOW.jpeg,kg
blue-party-wear-georgette-lehenga-choli-with-dupatta-7093,Blue Georgette Party Wear Lehenga Choli with Dupatta,"<h2>Blue Georgette Party Wear Lehenga Choli with Dupatta</h2><p>This legacy catalog record identifies the product by the title shown above. Use the current product page for the exact materials, included pieces, stitching status, measurements, selectable variants, price, availability and processing classification; details that are not stated there are not implied by photographs or category labels.</p><h3>Catalog fields</h3><ul><li><strong>Catalog type:</strong> Lehenga Choli</li><li><strong>Stitching:</strong> Semi Stitched</li><li><strong>Size:</strong> XS</li></ul><h3>Before ordering</h3><p>Review the current <a href=""https://luxemia.shop/shipping"">shipping policy</a>, <a href=""https://luxemia.shop/returns"">returns and covered-order-issue policy</a>, and <a href=""https://luxemia.shop/sizing-measurements-guide"">measurement guide</a>. Change-of-mind purchases are final sale. Damage, defects, material misdescription, an incorrect item or missing pieces should be reported promptly—preferably within 48 hours—with available photos and, when available, unboxing evidence. A missing video does not by itself remove rights that cannot legally be excluded.</p>",LuxeMia,Clothing,Lehenga Choli,"blue, blue lehenga, blue lehenga choli, blue georgette lehenga, georgette, georgette lehenga, georgette lehenga choli, party, party lehenga, party lehenga choli, party wear, lehenga, lehenga choli, semi stitched, semi stitched lehenga, with dupatta",FALSE,Stitching,Semi Stitched,Size,XS,2000,shopify,,deny,manual,72.99,104.99,TRUE,TRUE,,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_23-VOL-34%20By%20ZEEL%20COTHING%207093%20BLUE.jpeg,1,Blue Georgette Party Wear Lehenga Choli with Dupatta — product image 1,FALSE,Buy Blue Georgette Party Wear Lehenga Choli Online | LuxeMia,"Review Blue Georgette Party Wear Lehenga Choli with Dupatta at LuxeMia. Confirm the exact product listing for materials, included pieces, options, measurements, price, availability and processing.",draft,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_23-VOL-34%20By%20ZEEL%20COTHING%207093%20BLUE.jpeg,kg
green-party-wear-georgette-lehenga-choli-with-dupatta-7093,Green Georgette Party Wear Lehenga Choli with Dupatta,"<h2>Green Georgette Party Wear Lehenga Choli with Dupatta</h2><p>This legacy catalog record identifies the product by the title shown above. Use the current product page for the exact materials, included pieces, stitching status, measurements, selectable variants, price, availability and processing classification; details that are not stated there are not implied by photographs or category labels.</p><h3>Catalog fields</h3><ul><li><strong>Catalog type:</strong> Lehenga Choli</li><li><strong>Stitching:</strong> Semi Stitched</li><li><strong>Size:</strong> XS</li></ul><h3>Before ordering</h3><p>Review the current <a href=""https://luxemia.shop/shipping"">shipping policy</a>, <a href=""https://luxemia.shop/returns"">returns and covered-order-issue policy</a>, and <a href=""https://luxemia.shop/sizing-measurements-guide"">measurement guide</a>. Change-of-mind purchases are final sale. Damage, defects, material misdescription, an incorrect item or missing pieces should be reported promptly—preferably within 48 hours—with available photos and, when available, unboxing evidence. A missing video does not by itself remove rights that cannot legally be excluded.</p>",LuxeMia,Clothing,Lehenga Choli,"green, green lehenga, green lehenga choli, green georgette lehenga, georgette, georgette lehenga, georgette lehenga choli, party, party lehenga, party lehenga choli, party wear, lehenga, lehenga choli, semi stitched, semi stitched lehenga, with dupatta",FALSE,Stitching,Semi Stitched,Size,XS,2000,shopify,,deny,manual,72.99,104.99,TRUE,TRUE,,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_23-VOL-34%20By%20ZEEL%20COTHING%207093%20GREEN.jpeg,1,Green Georgette Party Wear Lehenga Choli with Dupatta — product image 1,FALSE,Buy Green Georgette Party Wear Lehenga Choli Online | LuxeMia,"Review Green Georgette Party Wear Lehenga Choli with Dupatta at LuxeMia. Confirm the exact product listing for materials, included pieces, options, measurements, price, availability and processing.",draft,https://fashidwholesale.in/images/product/sub_images/2026/05/2026-05-06_13_59_23-VOL-34%20By%20ZEEL%20COTHING%207093%20GREEN.jpeg,kg
